stn,ss_number,client_name,contact_person,contact_number,email,model_number,serial_number,warranty_check,quotation_sent,quotation_received,quotation_price,eta_parts,machine_status,rr_created
65443,57924,[WALK-IN] Company Charlie2,Jose Villanueva,9346789123,jose.v@venkora.org,EPSON L3150,ZK48XD2PFT,W,NULL,NULL,NULL,NULL,under repair,NULL
65444,57925,[WALK-IN] Company Delta2,Carlos Fernandez,9457891234,carlos.f@floxmail.io,Epson L365,QJX6L98TN3,OOW,23/02/2025,30/03/2025,1000,10,waiting for client,NULL
65445,57926,[WALK-IN] Company Echo2,Ana Dela Cruz,9568912345,ana.dc@quatrix.co,Canon G2020,VF13Z7PKXH,W,NULL,NULL,NULL,NULL,under repair,NULL
65446,57927,[WALK-IN] Company Foxtrot2,Marvin Santos,9679123456,marvin.s@zorbitron.com,Acer TMP 215,LQ8N40TJF6,OOW,28/02/2025,02/04/2025,2000,60,waiting for parts,NULL
65447,57928,[WALK-IN] Company Golf2,Sandra Salazar,9789234567,sandra.s@lumisoft.net,Lenovo Legion 7i,TP5XK8ZQ13,OOW,28/02/2025,05/04/2025,2300,10,waiting for parts,NULL
65448,57929,[WALK-IN] Company Hotel2,Angela Cruz,9892345678,angela.c@vexora.org,Lenovo Yoga Slim 5,J9N6LQT924F,W,NULL,NULL,NULL,NULL,under repair,NULL
65449,57930,[WALK-IN] Company India2,Erwin Bautista,9913456789,erwin.b@novexa.io,Epson L15250,F7E5XGZK13,W,NULL,NULL,NULL,NULL,under repair,NULL
65450,57931,[WALK-IN] Company Julliet2,Diana Pascual,9109987654,diana.p@trovex.co,Acer Nitro 7,QZM4M960TJY,OOW,05/03/2025,08/04/2025,6500,30,under repair,NULL
65451,57932,[WALK-IN] Company Kilo2,Randy Solis,9204663854,randy.s@xantrix.net,HP Envy 370,T1YPF8D5ZQJ,W,NULL,NULL,NULL,NULL,scheduled for return,09/03/2025
65452,57933,[WALK-IN] Company Lima2,Jen Ramirez,9322109876,jen.r@zenvora.com,HP Elitebook 450,J9NMQ96T34F,OOW,12/03/2025,11/04/2025,1500,10,waiting for client,NULL
65453,57934,[WALK-IN] Company Mike2,Joel Santos,9433210987,joel.s@veltrix.org,Lenovo Thinkbook 350,KX5TP8ZQ13D,OOW,14/03/2025,14/04/2025,1400,10,waiting for parts,NULL
65454,57935,[WALK-IN] Company November2,Carmen Navarro,9544321098,carmen.n@jupitex.co,Brother MFC-T4600,F7R5XGZL4MT,W,NULL,NULL,NULL,NULL,under repair,NULL
65455,57936,[WALK-IN] Company Oscar2,Carlo Rivera,9655432109,carlo.r@froben.io,Apple Macbook Pro 15,M8J6LQT034F,OOW,17/03/2025,18/04/2025,1000,30,waiting for parts,NULL
65456,57937,[WALK-IN] Company Papa2,Kris De Leon,9766543210,kris.d@texora.com,Dell Inspiron 3600,XG5TPZK823D,OOW,20/03/2025,20/04/2025,1200,30,waiting for parts,NULL
65457,57938,[WALK-IN] Company Quebec2,Miguel Razon,9179654321,miguel.r@vortexa.net,Lenovo Ideapad 6 Pro,PZ5M9XG8T2D,OOW,22/03/2025,23/04/2025,1350,30,waiting for parts,NULL
65458,57939,[WALK-IN] Company Romeo2,Josefa Cruz,9268426590,josefa.c@zontrix.org,Brother DCP-T725DW,KJ9MQ68XMT3,OOW,25/03/2025,27/04/2025,1240,15,waiting for client,NULL
65459,57940,[WALK-IN] Company Sierra2,Alvin Enriquez,9153149875,alvin.e@kalbex.co,EPSON EcoTank L5300,VF4D2PKZ58Q,OOW,27/03/2025,29/04/2025,1324,30,waiting for client,NULL
65460,57941,[WALK-IN] Company Tango2,Marco Bautista,9277593216,marco.b@quebrix.com,Canon Pixma G3050,XGQZL960T3K,W,28/03/2025,30/04/2025,NULL,NULL,under repair,NULL
65461,57942,[WALK-IN] Company Uniform2,Emy Marcoleta,9156882463,emuy_marco@ggness.com,Keychron RGB,AHFVDI412,W,29/03/2025,01/05/2025,NULL,NULL,under repair,NULL
